lemma	category	level
scassacoglioni	cds	conservative
scassamaroni	cds	conservative
scassapalle	cds	conservative
scema	ddp	conservative
sceme	ddp	conservative
scemi	ddp	conservative
scemo	ddp	conservative
scopabile	asm	conservative
scopamico	asm	conservative
scopare	asm	conservative
scopata	asm	conservative
scopate	asm	conservative
scopatina	asm	conservative
scopato	asm	conservative
scopatore	asm	conservative
scrofa	an	conservative
sculo	qas	inclusive
seccatore	cds	inclusive
sederone	ddf	inclusive
sederoni	ddf	inclusive
sega	asm	inclusive
segaioli	asm	conservative
segaiolo	asm	conservative
segaossa	asm	inclusive
seghe	asm	inclusive
sego	asm	inclusive
segone	asm	inclusive
sfigata	ddf	conservative
sfigate	ddf	conservative
sfigati	ddf	conservative
sfigato	ddf	conservative
sfortunata	ddf	inclusive
sfortunate	ddf	inclusive
sfortunato	ddf	inclusive
sgualdrina	pr	conservative
sgualdrinaccia	pr	conservative
sgualdrine	pr	conservative
smandrappata	pr	inclusive
smerda	cds	conservative
smerdare	cds	conservative
smerdata	cds	conservative
smerdato	cds	conservative
smerdo	cds	conservative
smorzacandela	cds	inclusive
sodomita	om	conservative
sottospecie	cds	inclusive
sputtanamento	cds	inclusive
sputtanare	cds	inclusive
sticchio	asf	inclusive
stocazzo	asm	conservative
strafottenza	cds	inclusive
strafottere	cds	inclusive
stronza	cds	conservative
stronzata	cds	inclusive
stronzate	cds	inclusive
stronze	cds	conservative
stronzi	cds	conservative
stronzo	cds	conservative
succhiacazzi	asm	conservative
succhione	asm	conservative
sveltina	asm	inclusive
sverginare	asm	inclusive
tamarro	is	inclusive
tarzanello	ps	conservative
teatrino	cds	inclusive
tega	om	inclusive
terrone	ps	conservative
terroni	ps	conservative
testa di cazzo	cds	conservative
tetta	asf	inclusive
tette	asf	inclusive
tettona	ddf	inclusive
topa	asf	inclusive
topo	asf	inclusive
travestita	om	inclusive
travestite	om	inclusive
travestiti	om	inclusive
travestito	om	inclusive
travone	om	conservative
trinariciuti	dmc	inclusive
trinariciuto	dmc	inclusive
troia	pr	conservative
troiaggine	pr	conservative
troiaio	pr	conservative
troiata	pr	conservative
troie	pr	conservative
troieggiare	pr	conservative
trollare	cds	inclusive
trombabile	asm	conservative
trombamico	asm	conservative
trombare	asm	conservative
trombata	asm	conservative
trombatore	asm	conservative
tronfione	cds	inclusive
vacca	an	conservative
vaffanculo	qas	conservative
vastaso	is	inclusive
vecchiaccia	ddf	conservative
vecchiaccio	ddf	conservative
vecchiarda	ddf	conservative
vecchiardo	ddf	conservative
vigliacca	cds	conservative
vigliacchi	cds	conservative
vigliacco	cds	conservative
vucumprà	ps	conservative
zingara	ps	conservative
zingare	ps	conservative
zingari	ps	conservative
zingaro	ps	conservative
zinna	asf	inclusive
zinne	asf	inclusive
zoccola	pr	conservative
zoccole	pr	conservative
